valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,type,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2013-M01,month,CHFL,CHFL,all,agegroup_food,all,all,2,8176573,0.02,2,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M02,month,CHFL,CHFL,all,agegroup_food,all,all,0,8176573,0,2,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M03,month,CHFL,CHFL,all,agegroup_food,all,all,6,8176573,0.07,8,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M04,month,CHFL,CHFL,all,agegroup_food,all,all,8,8176573,0.1,16,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2013-M05,month,CHFL,CHFL,all,agegroup_food,all,all,6,8176573,0.07,22,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2013-M06,month,CHFL,CHFL,all,agegroup_food,all,all,5,8176573,0.06,27,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2013-M07,month,CHFL,CHFL,all,agegroup_food,all,all,11,8176573,0.13,38,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2013-M08,month,CHFL,CHFL,all,agegroup_food,all,all,22,8176573,0.27,60,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2013-M09,month,CHFL,CHFL,all,agegroup_food,all,all,4,8176573,0.05,64,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2013-M10,month,CHFL,CHFL,all,agegroup_food,all,all,5,8176573,0.06,69,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2013-M11,month,CHFL,CHFL,all,agegroup_food,all,all,6,8176573,0.07,75,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2013-M12,month,CHFL,CHFL,all,agegroup_food,all,all,8,8176573,0.1,83,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M01,month,CHFL,CHFL,all,agegroup_food,all,all,6,8274608,0.07,6,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M02,month,CHFL,CHFL,all,agegroup_food,all,all,7,8274608,0.08,13,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M03,month,CHFL,CHFL,all,agegroup_food,all,all,6,8274608,0.07,19,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M04,month,CHFL,CHFL,all,agegroup_food,all,all,6,8274608,0.07,25,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M05,month,CHFL,CHFL,all,agegroup_food,all,all,10,8274608,0.12,35,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M06,month,CHFL,CHFL,all,agegroup_food,all,all,7,8274608,0.08,42,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M07,month,CHFL,CHFL,all,agegroup_food,all,all,14,8274608,0.17,56,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M08,month,CHFL,CHFL,all,agegroup_food,all,all,14,8274608,0.17,70,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M09,month,CHFL,CHFL,all,agegroup_food,all,all,16,8274608,0.19,86,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M10,month,CHFL,CHFL,all,agegroup_food,all,all,13,8274608,0.16,99,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M11,month,CHFL,CHFL,all,agegroup_food,all,all,15,8274608,0.18,114,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M12,month,CHFL,CHFL,all,agegroup_food,all,all,11,8274608,0.13,125,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M01,month,CHFL,CHFL,all,agegroup_food,all,all,14,8362816,0.17,14,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M02,month,CHFL,CHFL,all,agegroup_food,all,all,8,8362816,0.1,22,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M03,month,CHFL,CHFL,all,agegroup_food,all,all,14,8362816,0.17,36,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M04,month,CHFL,CHFL,all,agegroup_food,all,all,16,8362816,0.19,52,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M05,month,CHFL,CHFL,all,agegroup_food,all,all,18,8362816,0.22,70,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M06,month,CHFL,CHFL,all,agegroup_food,all,all,33,8362816,0.39,103,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2015-M07,month,CHFL,CHFL,all,agegroup_food,all,all,35,8362816,0.42,138,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2015-M08,month,CHFL,CHFL,all,agegroup_food,all,all,47,8362816,0.56,185,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2015-M09,month,CHFL,CHFL,all,agegroup_food,all,all,39,8362816,0.47,224,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M10,month,CHFL,CHFL,all,agegroup_food,all,all,36,8362816,0.43,260,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M11,month,CHFL,CHFL,all,agegroup_food,all,all,20,8362816,0.24,280,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2015-M12,month,CHFL,CHFL,all,agegroup_food,all,all,28,8362816,0.33,308,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2016-M01,month,CHFL,CHFL,all,agegroup_food,all,all,42,8457360,0.5,42,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M02,month,CHFL,CHFL,all,agegroup_food,all,all,28,8457360,0.33,70,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M03,month,CHFL,CHFL,all,agegroup_food,all,all,24,8457360,0.28,94,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M04,month,CHFL,CHFL,all,agegroup_food,all,all,45,8457360,0.53,139,NA,stagnant,NA,NA,NA,NA,NA,TRUE
