valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2013-M01,month,CHFL,CHFL,all,agegroup_food,all,810.0,8176573.0,9.91,810.0,,,,,,,,True
cases,2013-M02,month,CHFL,CHFL,all,agegroup_food,all,339.0,8176573.0,4.15,1149.0,,,,,,,,True
cases,2013-M03,month,CHFL,CHFL,all,agegroup_food,all,299.0,8176573.0,3.66,1448.0,,,,,,,,True
cases,2013-M04,month,CHFL,CHFL,all,agegroup_food,all,405.0,8176573.0,4.95,1853.0,,stagnant,,,,,,True
cases,2013-M05,month,CHFL,CHFL,all,agegroup_food,all,488.0,8176573.0,5.97,2341.0,,rising,,,,,,True
cases,2013-M06,month,CHFL,CHFL,all,agegroup_food,all,683.0,8176573.0,8.35,3024.0,,rising,,,,,,True
cases,2013-M07,month,CHFL,CHFL,all,agegroup_food,all,784.0,8176573.0,9.59,3808.0,,rising,,,,,,True
cases,2013-M08,month,CHFL,CHFL,all,agegroup_food,all,862.0,8176573.0,10.54,4670.0,,rising,,,,,,True
cases,2013-M09,month,CHFL,CHFL,all,agegroup_food,all,745.0,8176573.0,9.11,5415.0,,stagnant,,,,,,True
cases,2013-M10,month,CHFL,CHFL,all,agegroup_food,all,743.0,8176573.0,9.09,6158.0,,stagnant,,,,,,True
cases,2013-M11,month,CHFL,CHFL,all,agegroup_food,all,611.0,8176573.0,7.47,6769.0,,falling,,,,,,True
cases,2013-M12,month,CHFL,CHFL,all,agegroup_food,all,782.0,8176573.0,9.56,7551.0,,stagnant,,,,,,True
cases,2014-M01,month,CHFL,CHFL,all,agegroup_food,all,779.0,8274608.0,9.41,779.0,,stagnant,,,,,,True
cases,2014-M02,month,CHFL,CHFL,all,agegroup_food,all,400.0,8274608.0,4.83,1179.0,,stagnant,,,,,,True
cases,2014-M03,month,CHFL,CHFL,all,agegroup_food,all,420.0,8274608.0,5.08,1599.0,,falling,,,,,,True
cases,2014-M04,month,CHFL,CHFL,all,agegroup_food,all,457.0,8274608.0,5.52,2056.0,,stagnant,,,,,,True
cases,2014-M05,month,CHFL,CHFL,all,agegroup_food,all,521.0,8274608.0,6.3,2577.0,,rising,,,,,,True
cases,2014-M06,month,CHFL,CHFL,all,agegroup_food,all,722.0,8274608.0,8.73,3299.0,,rising,,,,,,True
cases,2014-M07,month,CHFL,CHFL,all,agegroup_food,all,848.0,8274608.0,10.25,4147.0,,rising,,,,,,True
cases,2014-M08,month,CHFL,CHFL,all,agegroup_food,all,957.0,8274608.0,11.57,5104.0,,rising,,,,,,True
cases,2014-M09,month,CHFL,CHFL,all,agegroup_food,all,668.0,8274608.0,8.07,5772.0,,stagnant,,,,,,True
