valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,type,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2013-M01,month,CHFL,CHFL,all,agegroup_food,all,all,2.0,8176573.0,0.02,2.0,,,,,,,,True
cases,2013-M02,month,CHFL,CHFL,all,agegroup_food,all,all,0.0,8176573.0,0.0,2.0,,,,,,,,True
cases,2013-M03,month,CHFL,CHFL,all,agegroup_food,all,all,6.0,8176573.0,0.07,8.0,,,,,,,,True
cases,2013-M04,month,CHFL,CHFL,all,agegroup_food,all,all,8.0,8176573.0,0.1,16.0,,rising,,,,,,True
cases,2013-M05,month,CHFL,CHFL,all,agegroup_food,all,all,6.0,8176573.0,0.07,22.0,,stagnant,,,,,,True
cases,2013-M06,month,CHFL,CHFL,all,agegroup_food,all,all,5.0,8176573.0,0.06,27.0,,stagnant,,,,,,True
cases,2013-M07,month,CHFL,CHFL,all,agegroup_food,all,all,11.0,8176573.0,0.13,38.0,,stagnant,,,,,,True
cases,2013-M08,month,CHFL,CHFL,all,agegroup_food,all,all,22.0,8176573.0,0.27,60.0,,rising,,,,,,True
cases,2013-M09,month,CHFL,CHFL,all,agegroup_food,all,all,4.0,8176573.0,0.05,64.0,,stagnant,,,,,,True
cases,2013-M10,month,CHFL,CHFL,all,agegroup_food,all,all,5.0,8176573.0,0.06,69.0,,stagnant,,,,,,True
cases,2013-M11,month,CHFL,CHFL,all,agegroup_food,all,all,6.0,8176573.0,0.07,75.0,,falling,,,,,,True
cases,2013-M12,month,CHFL,CHFL,all,agegroup_food,all,all,8.0,8176573.0,0.1,83.0,,stagnant,,,,,,True
cases,2014-M01,month,CHFL,CHFL,all,agegroup_food,all,all,6.0,8274608.0,0.07,6.0,,stagnant,,,,,,True
cases,2014-M02,month,CHFL,CHFL,all,agegroup_food,all,all,7.0,8274608.0,0.08,13.0,,stagnant,,,,,,True
cases,2014-M03,month,CHFL,CHFL,all,agegroup_food,all,all,6.0,8274608.0,0.07,19.0,,stagnant,,,,,,True
cases,2014-M04,month,CHFL,CHFL,all,agegroup_food,all,all,6.0,8274608.0,0.07,25.0,,stagnant,,,,,,True
cases,2014-M05,month,CHFL,CHFL,all,agegroup_food,all,all,10.0,8274608.0,0.12,35.0,,stagnant,,,,,,True
cases,2014-M06,month,CHFL,CHFL,all,agegroup_food,all,all,7.0,8274608.0,0.08,42.0,,stagnant,,,,,,True
cases,2014-M07,month,CHFL,CHFL,all,agegroup_food,all,all,14.0,8274608.0,0.17,56.0,,stagnant,,,,,,True
cases,2014-M08,month,CHFL,CHFL,all,agegroup_food,all,all,14.0,8274608.0,0.17,70.0,,stagnant,,,,,,True
cases,2014-M09,month,CHFL,CHFL,all,agegroup_food,all,all,16.0,8274608.0,0.19,86.0,,stagnant,,,,,,True
cases,2014-M10,month,CHFL,CHFL,all,agegroup_food,all,all,13.0,8274608.0,0.16,99.0,,stagnant,,,,,,True
cases,2014-M11,month,CHFL,CHFL,all,agegroup_food,all,all,15.0,8274608.0,0.18,114.0,,stagnant,,,,,,True
cases,2014-M12,month,CHFL,CHFL,all,agegroup_food,all,all,11.0,8274608.0,0.13,125.0,,stagnant,,,,,,True
cases,2015-M01,month,CHFL,CHFL,all,agegroup_food,all,all,14.0,8362816.0,0.17,14.0,,stagnant,,,,,,True
cases,2015-M02,month,CHFL,CHFL,all,agegroup_food,all,all,8.0,8362816.0,0.1,22.0,,stagnant,,,,,,True
cases,2015-M03,month,CHFL,CHFL,all,agegroup_food,all,all,14.0,8362816.0,0.17,36.0,,stagnant,,,,,,True
cases,2015-M04,month,CHFL,CHFL,all,agegroup_food,all,all,16.0,8362816.0,0.19,52.0,,stagnant,,,,,,True
cases,2015-M05,month,CHFL,CHFL,all,agegroup_food,all,all,18.0,8362816.0,0.22,70.0,,stagnant,,,,,,True
cases,2015-M06,month,CHFL,CHFL,all,agegroup_food,all,all,33.0,8362816.0,0.39,103.0,,rising,,,,,,True
cases,2015-M07,month,CHFL,CHFL,all,agegroup_food,all,all,35.0,8362816.0,0.42,138.0,,rising,,,,,,True
cases,2015-M08,month,CHFL,CHFL,all,agegroup_food,all,all,47.0,8362816.0,0.56,185.0,,rising,,,,,,True
cases,2015-M09,month,CHFL,CHFL,all,agegroup_food,all,all,39.0,8362816.0,0.47,224.0,,stagnant,,,,,,True
cases,2015-M10,month,CHFL,CHFL,all,agegroup_food,all,all,36.0,8362816.0,0.43,260.0,,stagnant,,,,,,True
cases,2015-M11,month,CHFL,CHFL,all,agegroup_food,all,all,20.0,8362816.0,0.24,280.0,,falling,,,,,,True
cases,2015-M12,month,CHFL,CHFL,all,agegroup_food,all,all,28.0,8362816.0,0.33,308.0,,falling,,,,,,True
cases,2016-M01,month,CHFL,CHFL,all,agegroup_food,all,all,42.0,8457360.0,0.5,42.0,,stagnant,,,,,,True
cases,2016-M02,month,CHFL,CHFL,all,agegroup_food,all,all,28.0,8457360.0,0.33,70.0,,stagnant,,,,,,True
cases,2016-M03,month,CHFL,CHFL,all,agegroup_food,all,all,24.0,8457360.0,0.28,94.0,,stagnant,,,,,,True
cases,2016-M04,month,CHFL,CHFL,all,agegroup_food,all,all,45.0,8457360.0,0.53,139.0,,stagnant,,,,,,True
cases,2016-M05,month,CHFL,CHFL,all,agegroup_food,all,all,34.0,8457360.0,0.4,173.0,,stagnant,,,,,,True
cases,2016-M06,month,CHFL,CHFL,all,agegroup_food,all,all,39.0,8457360.0,0.46,212.0,,stagnant,,,,,,True
cases,2016-M07,month,CHFL,CHFL,all,agegroup_food,all,all,70.0,8457360.0,0.83,282.0,,stagnant,,,,,,True
cases,2016-M08,month,CHFL,CHFL,all,agegroup_food,all,all,58.0,8457360.0,0.69,340.0,,rising,,,,,,True
cases,2016-M09,month,CHFL,CHFL,all,agegroup_food,all,all,59.0,8457360.0,0.7,399.0,,stagnant,,,,,,True
cases,2016-M10,month,CHFL,CHFL,all,agegroup_food,all,all,38.0,8457360.0,0.45,437.0,,falling,,,,,,True
cases,2016-M11,month,CHFL,CHFL,all,agegroup_food,all,all,38.0,8457360.0,0.45,475.0,,falling,,,,,,True
cases,2016-M12,month,CHFL,CHFL,all,agegroup_food,all,all,35.0,8457360.0,0.41,510.0,,falling,,,,,,True
cases,2017-M01,month,CHFL,CHFL,all,agegroup_food,all,all,28.0,8522244.0,0.33,28.0,,stagnant,,,,,,True
cases,2017-M02,month,CHFL,CHFL,all,agegroup_food,all,all,31.0,8522244.0,0.36,59.0,,stagnant,,,,,,True
cases,2017-M03,month,CHFL,CHFL,all,agegroup_food,all,all,48.0,8522244.0,0.56,107.0,,stagnant,,,,,,True
cases,2017-M04,month,CHFL,CHFL,all,agegroup_food,all,all,49.0,8522244.0,0.57,156.0,,rising,,,,,,True
cases,2017-M05,month,CHFL,CHFL,all,agegroup_food,all,all,51.0,8522244.0,0.6,207.0,,rising,,,,,,True
cases,2017-M06,month,CHFL,CHFL,all,agegroup_food,all,all,64.0,8522244.0,0.75,271.0,,stagnant,,,,,,True
cases,2017-M07,month,CHFL,CHFL,all,agegroup_food,all,all,95.0,8522244.0,1.11,366.0,,rising,,,,,,True
cases,2017-M08,month,CHFL,CHFL,all,agegroup_food,all,all,111.0,8522244.0,1.3,477.0,,rising,,,,,,True
cases,2017-M09,month,CHFL,CHFL,all,agegroup_food,all,all,88.0,8522244.0,1.03,565.0,,stagnant,,,,,,True
cases,2017-M10,month,CHFL,CHFL,all,agegroup_food,all,all,62.0,8522244.0,0.73,627.0,,falling,,,,,,True
cases,2017-M11,month,CHFL,CHFL,all,agegroup_food,all,all,48.0,8522244.0,0.56,675.0,,falling,,,,,,True
cases,2017-M12,month,CHFL,CHFL,all,agegroup_food,all,all,46.0,8522244.0,0.54,721.0,,falling,,,,,,True
cases,2018-M01,month,CHFL,CHFL,all,agegroup_food,all,all,67.0,8582905.0,0.78,67.0,,stagnant,,,,,,True
cases,2018-M02,month,CHFL,CHFL,all,agegroup_food,all,all,40.0,8582905.0,0.47,107.0,,stagnant,,,,,,True
cases,2018-M03,month,CHFL,CHFL,all,agegroup_food,all,all,36.0,8582905.0,0.42,143.0,,stagnant,,,,,,True
cases,2018-M04,month,CHFL,CHFL,all,agegroup_food,all,all,66.0,8582905.0,0.77,209.0,,stagnant,,,,,,True
cases,2018-M05,month,CHFL,CHFL,all,agegroup_food,all,all,56.0,8582905.0,0.65,265.0,,rising,,,,,,True
cases,2018-M06,month,CHFL,CHFL,all,agegroup_food,all,all,81.0,8582905.0,0.94,346.0,,rising,,,,,,True
cases,2018-M07,month,CHFL,CHFL,all,agegroup_food,all,all,96.0,8582905.0,1.12,442.0,,rising,,,,,,True
cases,2018-M08,month,CHFL,CHFL,all,agegroup_food,all,all,119.0,8582905.0,1.39,561.0,,rising,,,,,,True
cases,2018-M09,month,CHFL,CHFL,all,agegroup_food,all,all,99.0,8582905.0,1.15,660.0,,stagnant,,,,,,True
