valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,type,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2013-M01,month,CHFL,CHFL,all,agegroup_food,all,all,87.0,8176573.0,1.06,87.0,,,,,,,,True
cases,2013-M02,month,CHFL,CHFL,all,agegroup_food,all,all,76.0,8176573.0,0.93,163.0,,,,,,,,True
cases,2013-M03,month,CHFL,CHFL,all,agegroup_food,all,all,63.0,8176573.0,0.77,226.0,,,,,,,,True
cases,2013-M04,month,CHFL,CHFL,all,agegroup_food,all,all,92.0,8176573.0,1.13,318.0,,stagnant,,,,,,True
cases,2013-M05,month,CHFL,CHFL,all,agegroup_food,all,all,88.0,8176573.0,1.08,406.0,,stagnant,,,,,,True
cases,2013-M06,month,CHFL,CHFL,all,agegroup_food,all,all,87.0,8176573.0,1.06,493.0,,stagnant,,,,,,True
cases,2013-M07,month,CHFL,CHFL,all,agegroup_food,all,all,91.0,8176573.0,1.11,584.0,,stagnant,,,,,,True
cases,2013-M08,month,CHFL,CHFL,all,agegroup_food,all,all,217.0,8176573.0,2.65,801.0,,rising,,,,,,True
cases,2013-M09,month,CHFL,CHFL,all,agegroup_food,all,all,133.0,8176573.0,1.63,934.0,,stagnant,,,,,,True
cases,2013-M10,month,CHFL,CHFL,all,agegroup_food,all,all,151.0,8176573.0,1.85,1085.0,,stagnant,,,,,,True
cases,2013-M11,month,CHFL,CHFL,all,agegroup_food,all,all,123.0,8176573.0,1.5,1208.0,,falling,,,,,,True
cases,2013-M12,month,CHFL,CHFL,all,agegroup_food,all,all,63.0,8176573.0,0.77,1271.0,,falling,,,,,,True
cases,2014-M01,month,CHFL,CHFL,all,agegroup_food,all,all,96.0,8274608.0,1.16,96.0,,falling,,,,,,True
cases,2014-M02,month,CHFL,CHFL,all,agegroup_food,all,all,48.0,8274608.0,0.58,144.0,,falling,,,,,,True
cases,2014-M03,month,CHFL,CHFL,all,agegroup_food,all,all,70.0,8274608.0,0.85,214.0,,stagnant,,,,,,True
cases,2014-M04,month,CHFL,CHFL,all,agegroup_food,all,all,80.0,8274608.0,0.97,294.0,,stagnant,,,,,,True
cases,2014-M05,month,CHFL,CHFL,all,agegroup_food,all,all,91.0,8274608.0,1.1,385.0,,rising,,,,,,True
cases,2014-M06,month,CHFL,CHFL,all,agegroup_food,all,all,85.0,8274608.0,1.03,470.0,,stagnant,,,,,,True
cases,2014-M07,month,CHFL,CHFL,all,agegroup_food,all,all,125.0,8274608.0,1.51,595.0,,rising,,,,,,True
cases,2014-M08,month,CHFL,CHFL,all,agegroup_food,all,all,211.0,8274608.0,2.55,806.0,,rising,,,,,,True
cases,2014-M09,month,CHFL,CHFL,all,agegroup_food,all,all,133.0,8274608.0,1.61,939.0,,stagnant,,,,,,True
cases,2014-M10,month,CHFL,CHFL,all,agegroup_food,all,all,141.0,8274608.0,1.7,1080.0,,stagnant,,,,,,True
cases,2014-M11,month,CHFL,CHFL,all,agegroup_food,all,all,96.0,8274608.0,1.16,1176.0,,falling,,,,,,True
cases,2014-M12,month,CHFL,CHFL,all,agegroup_food,all,all,64.0,8274608.0,0.77,1240.0,,falling,,,,,,True
cases,2015-M01,month,CHFL,CHFL,all,agegroup_food,all,all,71.0,8362816.0,0.85,71.0,,falling,,,,,,True
cases,2015-M02,month,CHFL,CHFL,all,agegroup_food,all,all,46.0,8362816.0,0.55,117.0,,falling,,,,,,True
cases,2015-M03,month,CHFL,CHFL,all,agegroup_food,all,all,65.0,8362816.0,0.78,182.0,,stagnant,,,,,,True
cases,2015-M04,month,CHFL,CHFL,all,agegroup_food,all,all,85.0,8362816.0,1.02,267.0,,stagnant,,,,,,True
cases,2015-M05,month,CHFL,CHFL,all,agegroup_food,all,all,80.0,8362816.0,0.96,347.0,,rising,,,,,,True
cases,2015-M06,month,CHFL,CHFL,all,agegroup_food,all,all,85.0,8362816.0,1.02,432.0,,stagnant,,,,,,True
cases,2015-M07,month,CHFL,CHFL,all,agegroup_food,all,all,147.0,8362816.0,1.76,579.0,,rising,,,,,,True
cases,2015-M08,month,CHFL,CHFL,all,agegroup_food,all,all,241.0,8362816.0,2.88,820.0,,rising,,,,,,True
cases,2015-M09,month,CHFL,CHFL,all,agegroup_food,all,all,168.0,8362816.0,2.01,988.0,,rising,,,,,,True
cases,2015-M10,month,CHFL,CHFL,all,agegroup_food,all,all,190.0,8362816.0,2.27,1178.0,,stagnant,,,,,,True
cases,2015-M11,month,CHFL,CHFL,all,agegroup_food,all,all,121.0,8362816.0,1.45,1299.0,,falling,,,,,,True
cases,2015-M12,month,CHFL,CHFL,all,agegroup_food,all,all,56.0,8362816.0,0.67,1355.0,,falling,,,,,,True
cases,2016-M01,month,CHFL,CHFL,all,agegroup_food,all,all,87.0,8457360.0,1.03,87.0,,falling,,,,,,True
cases,2016-M02,month,CHFL,CHFL,all,agegroup_food,all,all,72.0,8457360.0,0.85,159.0,,stagnant,,,,,,True
cases,2016-M03,month,CHFL,CHFL,all,agegroup_food,all,all,84.0,8457360.0,0.99,243.0,,stagnant,,,,,,True
cases,2016-M04,month,CHFL,CHFL,all,agegroup_food,all,all,98.0,8457360.0,1.16,341.0,,stagnant,,,,,,True
cases,2016-M05,month,CHFL,CHFL,all,agegroup_food,all,all,104.0,8457360.0,1.23,445.0,,rising,,,,,,True
cases,2016-M06,month,CHFL,CHFL,all,agegroup_food,all,all,78.0,8457360.0,0.92,523.0,,stagnant,,,,,,True
cases,2016-M07,month,CHFL,CHFL,all,agegroup_food,all,all,126.0,8457360.0,1.49,649.0,,stagnant,,,,,,True
cases,2016-M08,month,CHFL,CHFL,all,agegroup_food,all,all,282.0,8457360.0,3.33,931.0,,rising,,,,,,True
cases,2016-M09,month,CHFL,CHFL,all,agegroup_food,all,all,197.0,8457360.0,2.33,1128.0,,rising,,,,,,True
cases,2016-M10,month,CHFL,CHFL,all,agegroup_food,all,all,161.0,8457360.0,1.9,1289.0,,stagnant,,,,,,True
cases,2016-M11,month,CHFL,CHFL,all,agegroup_food,all,all,121.0,8457360.0,1.43,1410.0,,falling,,,,,,True
cases,2016-M12,month,CHFL,CHFL,all,agegroup_food,all,all,110.0,8457360.0,1.3,1520.0,,falling,,,,,,True
cases,2017-M01,month,CHFL,CHFL,all,agegroup_food,all,all,81.0,8522244.0,0.95,81.0,,falling,,,,,,True
cases,2017-M02,month,CHFL,CHFL,all,agegroup_food,all,all,58.0,8522244.0,0.68,139.0,,falling,,,,,,True
cases,2017-M03,month,CHFL,CHFL,all,agegroup_food,all,all,72.0,8522244.0,0.84,211.0,,falling,,,,,,True
cases,2017-M04,month,CHFL,CHFL,all,agegroup_food,all,all,86.0,8522244.0,1.01,297.0,,stagnant,,,,,,True
cases,2017-M05,month,CHFL,CHFL,all,agegroup_food,all,all,97.0,8522244.0,1.14,394.0,,rising,,,,,,True
cases,2017-M06,month,CHFL,CHFL,all,agegroup_food,all,all,124.0,8522244.0,1.46,518.0,,rising,,,,,,True
cases,2017-M07,month,CHFL,CHFL,all,agegroup_food,all,all,219.0,8522244.0,2.57,737.0,,rising,,,,,,True
cases,2017-M08,month,CHFL,CHFL,all,agegroup_food,all,all,408.0,8522244.0,4.79,1145.0,,rising,,,,,,True
cases,2017-M09,month,CHFL,CHFL,all,agegroup_food,all,all,294.0,8522244.0,3.45,1439.0,,rising,,,,,,True
cases,2017-M10,month,CHFL,CHFL,all,agegroup_food,all,all,196.0,8522244.0,2.3,1635.0,,stagnant,,,,,,True
cases,2017-M11,month,CHFL,CHFL,all,agegroup_food,all,all,116.0,8522244.0,1.36,1751.0,,falling,,,,,,True
cases,2017-M12,month,CHFL,CHFL,all,agegroup_food,all,all,85.0,8522244.0,1.0,1836.0,,falling,,,,,,True
