valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,type,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2013,year,CHFL,CHFL,all,agegroup_food,all,enteritidis,366.0,8176573.0,4.48,,,,28.8,,,,,True
cases,2013,year,CHFL,CHFL,all,agegroup_food,all,monophasic_salmonella_typhimurium,204.0,8176573.0,2.49,,,,16.1,,,,,True
cases,2013,year,CHFL,CHFL,all,agegroup_food,all,napoli,17.0,8176573.0,0.21,,,,1.3,,,,,True
cases,2013,year,CHFL,CHFL,all,agegroup_food,all,other,467.0,8176573.0,5.71,,,,36.7,,,,,True
cases,2013,year,CHFL,CHFL,all,agegroup_food,all,species,17.0,8176573.0,0.21,,,,1.3,,,,,True
cases,2013,year,CHFL,CHFL,all,agegroup_food,all,typhimurium,200.0,8176573.0,2.45,,,,15.7,,,,,True
cases,2014,year,CHFL,CHFL,all,agegroup_food,all,enteritidis,345.0,8274608.0,4.17,,,,27.8,,,,,True
cases,2014,year,CHFL,CHFL,all,agegroup_food,all,monophasic_salmonella_typhimurium,195.0,8274608.0,2.36,,,,15.7,,,,,True
cases,2014,year,CHFL,CHFL,all,agegroup_food,all,napoli,18.0,8274608.0,0.22,,,,1.5,,,,,True
cases,2014,year,CHFL,CHFL,all,agegroup_food,all,other,480.0,8274608.0,5.8,,,,38.7,,,,,True
cases,2014,year,CHFL,CHFL,all,agegroup_food,all,species,20.0,8274608.0,0.24,,,,1.6,,,,,True
cases,2014,year,CHFL,CHFL,all,agegroup_food,all,typhimurium,182.0,8274608.0,2.2,,,,14.7,,,,,True
cases,2015,year,CHFL,CHFL,all,agegroup_food,all,enteritidis,478.0,8362816.0,5.72,,396.3,,35.3,,,,,True
cases,2015,year,CHFL,CHFL,all,agegroup_food,all,monophasic_salmonella_typhimurium,133.0,8362816.0,1.59,,177.3,,9.8,,,,,True
cases,2015,year,CHFL,CHFL,all,agegroup_food,all,napoli,22.0,8362816.0,0.26,,19.0,,1.6,,,,,True
cases,2015,year,CHFL,CHFL,all,agegroup_food,all,other,493.0,8362816.0,5.9,,480.0,,36.4,,,,,True
cases,2015,year,CHFL,CHFL,all,agegroup_food,all,species,42.0,8362816.0,0.5,,26.3,,3.1,,,,,True
cases,2015,year,CHFL,CHFL,all,agegroup_food,all,typhimurium,187.0,8362816.0,2.24,,189.7,,13.8,,,,,True
cases,2016,year,CHFL,CHFL,all,agegroup_food,all,enteritidis,543.0,8457360.0,6.42,,455.3,,35.7,,,,,True
cases,2016,year,CHFL,CHFL,all,agegroup_food,all,monophasic_salmonella_typhimurium,207.0,8457360.0,2.45,,178.3,,13.6,,,,,True
cases,2016,year,CHFL,CHFL,all,agegroup_food,all,napoli,24.0,8457360.0,0.28,,21.3,,1.6,,,,,True
cases,2016,year,CHFL,CHFL,all,agegroup_food,all,other,506.0,8457360.0,5.98,,493.0,,33.3,,,,,True
cases,2016,year,CHFL,CHFL,all,agegroup_food,all,species,60.0,8457360.0,0.71,,40.7,,3.9,,,,,True
cases,2016,year,CHFL,CHFL,all,agegroup_food,all,typhimurium,180.0,8457360.0,2.13,,183.0,,11.8,,,,,True
cases,2017,year,CHFL,CHFL,all,agegroup_food,all,enteritidis,715.0,8522244.0,8.39,,578.7,,38.9,,,,,True
cases,2017,year,CHFL,CHFL,all,agegroup_food,all,monophasic_salmonella_typhimurium,200.0,8522244.0,2.35,,180.0,,10.9,,,,,True
cases,2017,year,CHFL,CHFL,all,agegroup_food,all,napoli,35.0,8522244.0,0.41,,27.0,,1.9,,,,,True
cases,2017,year,CHFL,CHFL,all,agegroup_food,all,other,495.0,8522244.0,5.81,,498.0,,27.0,,,,,True
cases,2017,year,CHFL,CHFL,all,agegroup_food,all,species,159.0,8522244.0,1.87,,87.0,,8.7,,,,,True
cases,2017,year,CHFL,CHFL,all,agegroup_food,all,typhimurium,232.0,8522244.0,2.72,,199.7,,12.6,,,,,True
cases,2018,year,CHFL,CHFL,all,agegroup_food,all,enteritidis,405.0,8582905.0,4.72,,554.3,,27.6,,,,,True
cases,2018,year,CHFL,CHFL,all,agegroup_food,all,monophasic_salmonella_typhimurium,182.0,8582905.0,2.12,,196.3,,12.4,,,,,True
cases,2018,year,CHFL,CHFL,all,agegroup_food,all,napoli,39.0,8582905.0,0.45,,32.7,,2.7,,,,,True
cases,2018,year,CHFL,CHFL,all,agegroup_food,all,other,502.0,8582905.0,5.85,,501.0,,34.1,,,,,True
cases,2018,year,CHFL,CHFL,all,agegroup_food,all,species,100.0,8582905.0,1.17,,106.3,,6.8,,,,,True
cases,2018,year,CHFL,CHFL,all,agegroup_food,all,typhimurium,242.0,8582905.0,2.82,,218.0,,16.5,,,,,True
cases,2019,year,CHFL,CHFL,all,agegroup_food,all,enteritidis,419.0,8644780.0,4.85,,513.0,,27.2,,,,,True
cases,2019,year,CHFL,CHFL,all,agegroup_food,all,monophasic_salmonella_typhimurium,176.0,8644780.0,2.04,,186.0,,11.4,,,,,True
