valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2013,year,AG,canton,all,agegroup_food,all,11.0,636362.0,1.73,,,,7.5,,,,,True
cases,2013,year,AI,canton,all,agegroup_food,all,0.0,15778.0,0.0,,,,0.0,,,,,True
cases,2013,year,AR,canton,all,agegroup_food,all,0.0,53691.0,0.0,,,,0.0,,,,,True
cases,2013,year,BE,canton,all,agegroup_food,all,9.0,1001281.0,0.9,,,,6.1,,,,,True
cases,2013,year,BL,canton,all,agegroup_food,all,7.0,278656.0,2.51,,,,4.8,,,,,True
cases,2013,year,BS,canton,all,agegroup_food,all,3.0,189335.0,1.58,,,,2.0,,,,,True
cases,2013,year,CH,country,all,agegroup_food,all,147.0,8139631.0,1.81,,,,100.0,,,,,True
cases,2013,year,CHFL,CHFL,all,agegroup_food,all,147.0,8176573.0,1.8,,,,100.0,,,,,True
cases,2013,year,FL,country,all,agegroup_food,all,0.0,36942.0,0.0,,,,0.0,,,,,True
cases,2013,year,FR,canton,all,agegroup_food,all,7.0,297622.0,2.35,,,,4.8,,,,,True
cases,2013,year,GE,canton,all,agegroup_food,all,23.0,469433.0,4.9,,,,15.6,,,,,True
cases,2013,year,GL,canton,all,agegroup_food,all,0.0,39593.0,0.0,,,,0.0,,,,,True
cases,2013,year,GR,canton,all,agegroup_food,all,2.0,194959.0,1.03,,,,1.4,,,,,True
cases,2013,year,JU,canton,all,agegroup_food,all,3.0,71738.0,4.18,,,,2.0,,,,,True
cases,2013,year,LU,canton,all,agegroup_food,all,6.0,390349.0,1.54,,,,4.1,,,,,True
cases,2013,year,NE,canton,all,agegroup_food,all,4.0,176402.0,2.27,,,,2.7,,,,,True
cases,2013,year,NW,canton,all,agegroup_food,all,0.0,41888.0,0.0,,,,0.0,,,,,True
cases,2013,year,OW,canton,all,agegroup_food,all,0.0,36507.0,0.0,,,,0.0,,,,,True
cases,2013,year,SG,canton,all,agegroup_food,all,3.0,491699.0,0.61,,,,2.0,,,,,True
cases,2013,year,SH,canton,all,agegroup_food,all,2.0,78783.0,2.54,,,,1.4,,,,,True
cases,2013,year,SO,canton,all,agegroup_food,all,1.0,261437.0,0.38,,,,0.7,,,,,True
cases,2013,year,SZ,canton,all,agegroup_food,all,1.0,151396.0,0.66,,,,0.7,,,,,True
cases,2013,year,TG,canton,all,agegroup_food,all,1.0,260278.0,0.38,,,,0.7,,,,,True
cases,2013,year,TI,canton,all,agegroup_food,all,6.0,346539.0,1.73,,,,4.1,,,,,True
cases,2013,year,UR,canton,all,agegroup_food,all,0.0,35865.0,0.0,,,,0.0,,,,,True
cases,2013,year,VD,canton,all,agegroup_food,all,18.0,749373.0,2.4,,,,12.2,,,,,True
cases,2013,year,VS,canton,all,agegroup_food,all,1.0,327011.0,0.31,,,,0.7,,,,,True
cases,2013,year,ZG,canton,all,agegroup_food,all,0.0,118118.0,0.0,,,,0.0,,,,,True
cases,2013,year,ZH,canton,all,agegroup_food,all,39.0,1425538.0,2.74,,,,26.5,,,,,True
cases,2014,year,AG,canton,all,agegroup_food,all,10.0,645277.0,1.55,,,,6.9,,,,,True
cases,2014,year,AI,canton,all,agegroup_food,all,0.0,15854.0,0.0,,,,0.0,,,,,True
cases,2014,year,AR,canton,all,agegroup_food,all,0.0,54064.0,0.0,,,,0.0,,,,,True
cases,2014,year,BE,canton,all,agegroup_food,all,19.0,1009418.0,1.88,,,,13.2,,,,,True
cases,2014,year,BL,canton,all,agegroup_food,all,2.0,281301.0,0.71,,,,1.4,,,,,True
cases,2014,year,BS,canton,all,agegroup_food,all,8.0,190580.0,4.2,,,,5.6,,,,,True
cases,2014,year,CH,country,all,agegroup_food,all,144.0,8237666.0,1.75,,,,100.0,,,,,True
cases,2014,year,CHFL,CHFL,all,agegroup_food,all,144.0,8274608.0,1.74,,,,100.0,-3.0,-0.06,-3.3,,True
cases,2014,year,FL,country,all,agegroup_food,all,0.0,36942.0,0.0,,,,0.0,,,,,True
cases,2014,year,FR,canton,all,agegroup_food,all,9.0,303377.0,2.97,,,,6.2,,,,,True
cases,2014,year,GE,canton,all,agegroup_food,all,23.0,477385.0,4.82,,,,16.0,,,,,True
cases,2014,year,GL,canton,all,agegroup_food,all,0.0,39794.0,0.0,,,,0.0,,,,,True
cases,2014,year,GR,canton,all,agegroup_food,all,2.0,195886.0,1.02,,,,1.4,,,,,True
cases,2014,year,JU,canton,all,agegroup_food,all,1.0,72410.0,1.38,,,,0.7,,,,,True
cases,2014,year,LU,canton,all,agegroup_food,all,2.0,394604.0,0.51,,,,1.4,,,,,True
cases,2014,year,NE,canton,all,agegroup_food,all,4.0,177327.0,2.26,,,,2.8,,,,,True
cases,2014,year,NW,canton,all,agegroup_food,all,1.0,42080.0,2.38,,,,0.7,,,,,True
cases,2014,year,OW,canton,all,agegroup_food,all,0.0,36834.0,0.0,,,,0.0,,,,,True
cases,2014,year,SG,canton,all,agegroup_food,all,6.0,495824.0,1.21,,,,4.2,,,,,True
cases,2014,year,SH,canton,all,agegroup_food,all,0.0,79417.0,0.0,,,,0.0,,,,,True
cases,2014,year,SO,canton,all,agegroup_food,all,2.0,263719.0,0.76,,,,1.4,,,,,True
cases,2014,year,SZ,canton,all,agegroup_food,all,2.0,152759.0,1.31,,,,1.4,,,,,True
cases,2014,year,TG,canton,all,agegroup_food,all,0.0,263733.0,0.0,,,,0.0,,,,,True
cases,2014,year,TI,canton,all,agegroup_food,all,5.0,350363.0,1.43,,,,3.5,,,,,True
cases,2014,year,UR,canton,all,agegroup_food,all,1.0,36008.0,2.78,,,,0.7,,,,,True
cases,2014,year,VD,canton,all,agegroup_food,all,16.0,761446.0,2.1,,,,11.1,,,,,True
cases,2014,year,VS,canton,all,agegroup_food,all,3.0,331763.0,0.9,,,,2.1,,,,,True
cases,2014,year,ZG,canton,all,agegroup_food,all,1.0,120089.0,0.83,,,,0.7,,,,,True
cases,2014,year,ZH,canton,all,agegroup_food,all,27.0,1446354.0,1.87,,,,18.8,,,,,True
cases,2015,year,AG,canton,all,agegroup_food,all,6.0,653541.0,0.92,,9.0,,3.4,,,,,True
cases,2015,year,AI,canton,all,agegroup_food,all,1.0,15973.0,6.26,,0.3,,0.6,,,,,True
cases,2015,year,AR,canton,all,agegroup_food,all,1.0,54530.0,1.83,,0.3,,0.6,,,,,True
cases,2015,year,BE,canton,all,agegroup_food,all,21.0,1017183.0,2.06,,16.3,,11.8,,,,,True
cases,2015,year,BL,canton,all,agegroup_food,all,4.0,283157.0,1.41,,4.3,,2.2,,,,,True
cases,2015,year,BS,canton,all,agegroup_food,all,11.0,191757.0,5.74,,7.3,,6.2,,,,,True
cases,2015,year,CH,country,all,agegroup_food,all,178.0,8325194.0,2.14,,156.3,,99.4,,,,,True
cases,2015,year,CHFL,CHFL,all,agegroup_food,all,179.0,8362816.0,2.14,,156.7,stagnant,100.0,35.0,0.4,23.0,,True
cases,2015,year,FL,country,all,agegroup_food,all,1.0,37622.0,2.66,,0.3,,0.6,,,,,True
cases,2015,year,FR,canton,all,agegroup_food,all,3.0,307409.0,0.98,,6.3,,1.7,,,,,True
cases,2015,year,GE,canton,all,agegroup_food,all,37.0,484445.0,7.64,,27.7,,20.8,,,,,True
cases,2015,year,GL,canton,all,agegroup_food,all,0.0,40021.0,0.0,,0.0,,0.0,,,,,True
cases,2015,year,GR,canton,all,agegroup_food,all,2.0,196564.0,1.02,,2.0,,1.1,,,,,True
cases,2015,year,JU,canton,all,agegroup_food,all,1.0,72771.0,1.37,,1.7,,0.6,,,,,True
cases,2015,year,LU,canton,all,agegroup_food,all,7.0,398699.0,1.76,,5.0,,3.9,,,,,True
cases,2015,year,NE,canton,all,agegroup_food,all,5.0,178073.0,2.81,,4.3,,2.8,,,,,True
cases,2015,year,NW,canton,all,agegroup_food,all,0.0,42416.0,0.0,,0.3,,0.0,,,,,True
cases,2015,year,OW,canton,all,agegroup_food,all,0.0,37071.0,0.0,,0.0,,0.0,,,,,True
cases,2015,year,SG,canton,all,agegroup_food,all,6.0,499006.0,1.2,,5.0,,3.4,,,,,True
cases,2015,year,SH,canton,all,agegroup_food,all,1.0,79828.0,1.25,,1.0,,0.6,,,,,True
cases,2015,year,SO,canton,all,agegroup_food,all,3.0,266369.0,1.13,,2.0,,1.7,,,,,True
cases,2015,year,SZ,canton,all,agegroup_food,all,2.0,154073.0,1.3,,1.7,,1.1,,,,,True
cases,2015,year,TG,canton,all,agegroup_food,all,3.0,267393.0,1.12,,1.3,,1.7,,,,,True
cases,2015,year,TI,canton,all,agegroup_food,all,4.0,351894.0,1.14,,5.0,,2.2,,,,,True
cases,2015,year,UR,canton,all,agegroup_food,all,0.0,35971.0,0.0,,0.3,,0.0,,,,,True
cases,2015,year,VD,canton,all,agegroup_food,all,15.0,773239.0,1.94,,16.3,,8.4,,,,,True
cases,2015,year,VS,canton,all,agegroup_food,all,6.0,335622.0,1.79,,3.3,,3.4,,,,,True
cases,2015,year,ZG,canton,all,agegroup_food,all,0.0,122113.0,0.0,,0.3,,0.0,,,,,True
cases,2015,year,ZH,canton,all,agegroup_food,all,39.0,1466076.0,2.66,,35.0,,21.9,,,,,True
cases,2016,year,AG,canton,all,agegroup_food,all,5.0,663462.0,0.75,,7.0,,2.8,,,,,True
cases,2016,year,AI,canton,all,agegroup_food,all,0.0,16003.0,0.0,,0.3,,0.0,,,,,True
cases,2016,year,AR,canton,all,agegroup_food,all,0.0,54954.0,0.0,,0.3,,0.0,,,,,True
cases,2016,year,BE,canton,all,agegroup_food,all,16.0,1026513.0,1.56,,18.7,,9.0,,,,,True
cases,2016,year,BL,canton,all,agegroup_food,all,8.0,285624.0,2.8,,4.7,,4.5,,,,,True
cases,2016,year,BS,canton,all,agegroup_food,all,2.0,193070.0,1.04,,7.0,,1.1,,,,,True
