valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2013-M01,month,CHFL,CHFL,all,agegroup_food,all,15,8176573,0.18,15,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M02,month,CHFL,CHFL,all,agegroup_food,all,11,8176573,0.13,26,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M03,month,CHFL,CHFL,all,agegroup_food,all,13,8176573,0.16,39,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M04,month,CHFL,CHFL,all,agegroup_food,all,12,8176573,0.15,51,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2013-M05,month,CHFL,CHFL,all,agegroup_food,all,4,8176573,0.05,55,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2013-M06,month,CHFL,CHFL,all,agegroup_food,all,6,8176573,0.07,61,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2013-M07,month,CHFL,CHFL,all,agegroup_food,all,13,8176573,0.16,74,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2013-M08,month,CHFL,CHFL,all,agegroup_food,all,23,8176573,0.28,97,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2013-M09,month,CHFL,CHFL,all,agegroup_food,all,14,8176573,0.17,111,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2013-M10,month,CHFL,CHFL,all,agegroup_food,all,6,8176573,0.07,117,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2013-M11,month,CHFL,CHFL,all,agegroup_food,all,17,8176573,0.21,134,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2013-M12,month,CHFL,CHFL,all,agegroup_food,all,13,8176573,0.16,147,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M01,month,CHFL,CHFL,all,agegroup_food,all,15,8274608,0.18,15,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M02,month,CHFL,CHFL,all,agegroup_food,all,11,8274608,0.13,26,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M03,month,CHFL,CHFL,all,agegroup_food,all,4,8274608,0.05,30,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2014-M04,month,CHFL,CHFL,all,agegroup_food,all,11,8274608,0.13,41,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M05,month,CHFL,CHFL,all,agegroup_food,all,7,8274608,0.08,48,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M06,month,CHFL,CHFL,all,agegroup_food,all,13,8274608,0.16,61,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M07,month,CHFL,CHFL,all,agegroup_food,all,12,8274608,0.15,73,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M08,month,CHFL,CHFL,all,agegroup_food,all,13,8274608,0.16,86,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M09,month,CHFL,CHFL,all,agegroup_food,all,16,8274608,0.19,102,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M10,month,CHFL,CHFL,all,agegroup_food,all,14,8274608,0.17,116,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M11,month,CHFL,CHFL,all,agegroup_food,all,16,8274608,0.19,132,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M12,month,CHFL,CHFL,all,agegroup_food,all,12,8274608,0.15,144,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M01,month,CHFL,CHFL,all,agegroup_food,all,7,8362816,0.08,7,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M02,month,CHFL,CHFL,all,agegroup_food,all,12,8362816,0.14,19,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M03,month,CHFL,CHFL,all,agegroup_food,all,11,8362816,0.13,30,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M04,month,CHFL,CHFL,all,agegroup_food,all,9,8362816,0.11,39,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M05,month,CHFL,CHFL,all,agegroup_food,all,4,8362816,0.05,43,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M06,month,CHFL,CHFL,all,agegroup_food,all,11,8362816,0.13,54,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M07,month,CHFL,CHFL,all,agegroup_food,all,20,8362816,0.24,74,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2015-M08,month,CHFL,CHFL,all,agegroup_food,all,29,8362816,0.35,103,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2015-M09,month,CHFL,CHFL,all,agegroup_food,all,13,8362816,0.16,116,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M10,month,CHFL,CHFL,all,agegroup_food,all,23,8362816,0.28,139,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M11,month,CHFL,CHFL,all,agegroup_food,all,24,8362816,0.29,163,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M12,month,CHFL,CHFL,all,agegroup_food,all,16,8362816,0.19,179,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M01,month,CHFL,CHFL,all,agegroup_food,all,32,8457360,0.38,32,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M02,month,CHFL,CHFL,all,agegroup_food,all,17,8457360,0.2,49,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M03,month,CHFL,CHFL,all,agegroup_food,all,11,8457360,0.13,60,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M04,month,CHFL,CHFL,all,agegroup_food,all,11,8457360,0.13,71,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2016-M05,month,CHFL,CHFL,all,agegroup_food,all,8,8457360,0.09,79,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M06,month,CHFL,CHFL,all,agegroup_food,all,11,8457360,0.13,90,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M07,month,CHFL,CHFL,all,agegroup_food,all,11,8457360,0.13,101,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M08,month,CHFL,CHFL,all,agegroup_food,all,20,8457360,0.24,121,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2016-M09,month,CHFL,CHFL,all,agegroup_food,all,12,8457360,0.14,133,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M10,month,CHFL,CHFL,all,agegroup_food,all,17,8457360,0.2,150,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M11,month,CHFL,CHFL,all,agegroup_food,all,23,8457360,0.27,173,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M12,month,CHFL,CHFL,all,agegroup_food,all,5,8457360,0.06,178,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2017-M01,month,CHFL,CHFL,all,agegroup_food,all,11,8522244,0.13,11,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2017-M02,month,CHFL,CHFL,all,agegroup_food,all,12,8522244,0.14,23,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2017-M03,month,CHFL,CHFL,all,agegroup_food,all,9,8522244,0.11,32,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2017-M04,month,CHFL,CHFL,all,agegroup_food,all,11,8522244,0.13,43,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2017-M05,month,CHFL,CHFL,all,agegroup_food,all,15,8522244,0.18,58,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2017-M06,month,CHFL,CHFL,all,agegroup_food,all,9,8522244,0.11,67,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2017-M07,month,CHFL,CHFL,all,agegroup_food,all,11,8522244,0.13,78,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2017-M08,month,CHFL,CHFL,all,agegroup_food,all,11,8522244,0.13,89,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2017-M09,month,CHFL,CHFL,all,agegroup_food,all,14,8522244,0.16,103,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2017-M10,month,CHFL,CHFL,all,agegroup_food,all,19,8522244,0.22,122,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2017-M11,month,CHFL,CHFL,all,agegroup_food,all,15,8522244,0.18,137,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2017-M12,month,CHFL,CHFL,all,agegroup_food,all,8,8522244,0.09,145,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2018-M01,month,CHFL,CHFL,all,agegroup_food,all,12,8582905,0.14,12,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2018-M02,month,CHFL,CHFL,all,agegroup_food,all,9,8582905,0.1,21,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2018-M03,month,CHFL,CHFL,all,agegroup_food,all,18,8582905,0.21,39,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2018-M04,month,CHFL,CHFL,all,agegroup_food,all,15,8582905,0.17,54,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2018-M05,month,CHFL,CHFL,all,agegroup_food,all,13,8582905,0.15,67,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2018-M06,month,CHFL,CHFL,all,agegroup_food,all,24,8582905,0.28,91,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2018-M07,month,CHFL,CHFL,all,agegroup_food,all,22,8582905,0.26,113,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2018-M08,month,CHFL,CHFL,all,agegroup_food,all,39,8582905,0.45,152,NA,rising,NA,NA,NA,NA,NA,TRUE
