valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2013,year,AG,canton,all,agegroup_food,all,546.0,636362.0,85.8,,,,7.3,,,,,True
cases,2013,year,AI,canton,all,agegroup_food,all,25.0,15778.0,158.45,,,,0.3,,,,,True
cases,2013,year,AR,canton,all,agegroup_food,all,52.0,53691.0,96.85,,,,0.7,,,,,True
cases,2013,year,BE,canton,all,agegroup_food,all,958.0,1001281.0,95.68,,,,12.8,,,,,True
cases,2013,year,BL,canton,all,agegroup_food,all,417.0,278656.0,149.65,,,,5.6,,,,,True
cases,2013,year,BS,canton,all,agegroup_food,all,229.0,189335.0,120.95,,,,3.1,,,,,True
cases,2013,year,CH,country,all,agegroup_food,all,7504.0,8139631.0,92.19,,,,99.4,,,,,True
cases,2013,year,CHFL,CHFL,all,agegroup_food,all,7551.0,8176573.0,92.35,,,,100.0,,,,,True
cases,2013,year,FL,country,all,agegroup_food,all,47.0,36942.0,127.23,,,,0.6,,,,,True
cases,2013,year,FR,canton,all,agegroup_food,all,193.0,297622.0,64.85,,,,2.6,,,,,True
cases,2013,year,GE,canton,all,agegroup_food,all,341.0,469433.0,72.64,,,,4.5,,,,,True
cases,2013,year,GL,canton,all,agegroup_food,all,33.0,39593.0,83.35,,,,0.4,,,,,True
cases,2013,year,GR,canton,all,agegroup_food,all,191.0,194959.0,97.97,,,,2.5,,,,,True
cases,2013,year,JU,canton,all,agegroup_food,all,103.0,71738.0,143.58,,,,1.4,,,,,True
cases,2013,year,LU,canton,all,agegroup_food,all,371.0,390349.0,95.04,,,,4.9,,,,,True
cases,2013,year,NE,canton,all,agegroup_food,all,147.0,176402.0,83.33,,,,2.0,,,,,True
cases,2013,year,NW,canton,all,agegroup_food,all,52.0,41888.0,124.14,,,,0.7,,,,,True
cases,2013,year,OW,canton,all,agegroup_food,all,34.0,36507.0,93.13,,,,0.5,,,,,True
cases,2013,year,SG,canton,all,agegroup_food,all,475.0,491699.0,96.6,,,,6.3,,,,,True
cases,2013,year,SH,canton,all,agegroup_food,all,73.0,78783.0,92.66,,,,1.0,,,,,True
cases,2013,year,SO,canton,all,agegroup_food,all,307.0,261437.0,117.43,,,,4.1,,,,,True
cases,2013,year,SZ,canton,all,agegroup_food,all,141.0,151396.0,93.13,,,,1.9,,,,,True
cases,2013,year,TG,canton,all,agegroup_food,all,274.0,260278.0,105.27,,,,3.7,,,,,True
cases,2013,year,TI,canton,all,agegroup_food,all,132.0,346539.0,38.09,,,,1.8,,,,,True
cases,2013,year,UR,canton,all,agegroup_food,all,41.0,35865.0,114.32,,,,0.5,,,,,True
cases,2013,year,VD,canton,all,agegroup_food,all,566.0,749373.0,75.53,,,,7.5,,,,,True
cases,2013,year,VS,canton,all,agegroup_food,all,331.0,327011.0,101.22,,,,4.4,,,,,True
cases,2013,year,ZG,canton,all,agegroup_food,all,107.0,118118.0,90.59,,,,1.4,,,,,True
cases,2013,year,ZH,canton,all,agegroup_food,all,1362.0,1425538.0,95.54,,,,18.2,,,,,True
cases,2013,year,unknown,canton,all,agegroup_food,all,3.0,,,,,,0.0,,,,,True
cases,2014,year,AG,canton,all,agegroup_food,all,497.0,645277.0,77.02,,,,6.6,,,,,True
cases,2014,year,AI,canton,all,agegroup_food,all,22.0,15854.0,138.77,,,,0.3,,,,,True
cases,2014,year,AR,canton,all,agegroup_food,all,59.0,54064.0,109.13,,,,0.8,,,,,True
cases,2014,year,BE,canton,all,agegroup_food,all,992.0,1009418.0,98.27,,,,13.2,,,,,True
cases,2014,year,BL,canton,all,agegroup_food,all,370.0,281301.0,131.53,,,,4.9,,,,,True
cases,2014,year,BS,canton,all,agegroup_food,all,240.0,190580.0,125.93,,,,3.2,,,,,True
cases,2014,year,CH,country,all,agegroup_food,all,7495.0,8237666.0,90.98,,,,99.3,,,,,True
cases,2014,year,CHFL,CHFL,all,agegroup_food,all,7546.0,8274608.0,91.19,,,stagnant,100.0,-5.0,-1.16,-1.3,,True
cases,2014,year,FL,country,all,agegroup_food,all,51.0,36942.0,138.05,,,,0.7,,,,,True
cases,2014,year,FR,canton,all,agegroup_food,all,238.0,303377.0,78.45,,,,3.2,,,,,True
cases,2014,year,GE,canton,all,agegroup_food,all,412.0,477385.0,86.3,,,,5.5,,,,,True
cases,2014,year,GL,canton,all,agegroup_food,all,39.0,39794.0,98.0,,,,0.5,,,,,True
cases,2014,year,GR,canton,all,agegroup_food,all,183.0,195886.0,93.42,,,,2.4,,,,,True
cases,2014,year,JU,canton,all,agegroup_food,all,89.0,72410.0,122.91,,,,1.2,,,,,True
cases,2014,year,LU,canton,all,agegroup_food,all,396.0,394604.0,100.35,,,,5.3,,,,,True
cases,2014,year,NE,canton,all,agegroup_food,all,146.0,177327.0,82.33,,,,1.9,,,,,True
cases,2014,year,NW,canton,all,agegroup_food,all,48.0,42080.0,114.07,,,,0.6,,,,,True
cases,2014,year,OW,canton,all,agegroup_food,all,41.0,36834.0,111.31,,,,0.5,,,,,True
cases,2014,year,SG,canton,all,agegroup_food,all,442.0,495824.0,89.14,,,,5.9,,,,,True
cases,2014,year,SH,canton,all,agegroup_food,all,61.0,79417.0,76.81,,,,0.8,,,,,True
cases,2014,year,SO,canton,all,agegroup_food,all,266.0,263719.0,100.86,,,,3.5,,,,,True
cases,2014,year,SZ,canton,all,agegroup_food,all,143.0,152759.0,93.61,,,,1.9,,,,,True
cases,2014,year,TG,canton,all,agegroup_food,all,271.0,263733.0,102.76,,,,3.6,,,,,True
