valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,type,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2013,year,AG,canton,all,agegroup_food,all,all,9.0,636362.0,1.41,,,,11.0,,,,,True
cases,2013,year,AI,canton,all,agegroup_food,all,all,0.0,15778.0,0.0,,,,0.0,,,,,True
cases,2013,year,AR,canton,all,agegroup_food,all,all,0.0,53691.0,0.0,,,,0.0,,,,,True
cases,2013,year,BE,canton,all,agegroup_food,all,all,13.0,1001281.0,1.3,,,,15.9,,,,,True
cases,2013,year,BL,canton,all,agegroup_food,all,all,6.0,278656.0,2.15,,,,7.3,,,,,True
cases,2013,year,BS,canton,all,agegroup_food,all,all,6.0,189335.0,3.17,,,,7.3,,,,,True
cases,2013,year,CH,country,all,agegroup_food,all,all,82.0,8139631.0,1.01,,,,98.8,,,,,True
cases,2013,year,CHFL,CHFL,all,agegroup_food,all,all,83.0,8176573.0,1.02,,,,100.0,,,,,True
cases,2013,year,FL,country,all,agegroup_food,all,all,1.0,36942.0,2.71,,,,1.2,,,,,True
cases,2013,year,FR,canton,all,agegroup_food,all,all,4.0,297622.0,1.34,,,,4.9,,,,,True
cases,2013,year,GE,canton,all,agegroup_food,all,all,1.0,469433.0,0.21,,,,1.2,,,,,True
cases,2013,year,GL,canton,all,agegroup_food,all,all,2.0,39593.0,5.05,,,,2.4,,,,,True
cases,2013,year,GR,canton,all,agegroup_food,all,all,6.0,194959.0,3.08,,,,7.3,,,,,True
cases,2013,year,JU,canton,all,agegroup_food,all,all,1.0,71738.0,1.39,,,,1.2,,,,,True
cases,2013,year,LU,canton,all,agegroup_food,all,all,2.0,390349.0,0.51,,,,2.4,,,,,True
cases,2013,year,NE,canton,all,agegroup_food,all,all,3.0,176402.0,1.7,,,,3.7,,,,,True
cases,2013,year,NW,canton,all,agegroup_food,all,all,0.0,41888.0,0.0,,,,0.0,,,,,True
cases,2013,year,OW,canton,all,agegroup_food,all,all,0.0,36507.0,0.0,,,,0.0,,,,,True
cases,2013,year,SG,canton,all,agegroup_food,all,all,2.0,491699.0,0.41,,,,2.4,,,,,True
cases,2013,year,SH,canton,all,agegroup_food,all,all,1.0,78783.0,1.27,,,,1.2,,,,,True
cases,2013,year,SO,canton,all,agegroup_food,all,all,4.0,261437.0,1.53,,,,4.9,,,,,True
cases,2013,year,SZ,canton,all,agegroup_food,all,all,1.0,151396.0,0.66,,,,1.2,,,,,True
cases,2013,year,TG,canton,all,agegroup_food,all,all,0.0,260278.0,0.0,,,,0.0,,,,,True
cases,2013,year,TI,canton,all,agegroup_food,all,all,4.0,346539.0,1.15,,,,4.9,,,,,True
cases,2013,year,UR,canton,all,agegroup_food,all,all,0.0,35865.0,0.0,,,,0.0,,,,,True
cases,2013,year,VD,canton,all,agegroup_food,all,all,3.0,749373.0,0.4,,,,3.7,,,,,True
cases,2013,year,VS,canton,all,agegroup_food,all,all,4.0,327011.0,1.22,,,,4.9,,,,,True
cases,2013,year,ZG,canton,all,agegroup_food,all,all,0.0,118118.0,0.0,,,,0.0,,,,,True
cases,2013,year,ZH,canton,all,agegroup_food,all,all,10.0,1425538.0,0.7,,,,12.2,,,,,True
cases,2014,year,AG,canton,all,agegroup_food,all,all,12.0,645277.0,1.86,,,,9.8,,,,,True
cases,2014,year,AI,canton,all,agegroup_food,all,all,0.0,15854.0,0.0,,,,0.0,,,,,True
cases,2014,year,AR,canton,all,agegroup_food,all,all,0.0,54064.0,0.0,,,,0.0,,,,,True
cases,2014,year,BE,canton,all,agegroup_food,all,all,11.0,1009418.0,1.09,,,,8.9,,,,,True
cases,2014,year,BL,canton,all,agegroup_food,all,all,0.0,281301.0,0.0,,,,0.0,,,,,True
cases,2014,year,BS,canton,all,agegroup_food,all,all,5.0,190580.0,2.62,,,,4.1,,,,,True
cases,2014,year,CH,country,all,agegroup_food,all,all,123.0,8237666.0,1.49,,,,98.4,,,,,True
cases,2014,year,CHFL,CHFL,all,agegroup_food,all,all,125.0,8274608.0,1.51,,,,100.0,42.0,0.49,48.0,,True
cases,2014,year,FL,country,all,agegroup_food,all,all,2.0,36942.0,5.41,,,,1.6,,,,,True
cases,2014,year,FR,canton,all,agegroup_food,all,all,1.0,303377.0,0.33,,,,0.8,,,,,True
cases,2014,year,GE,canton,all,agegroup_food,all,all,15.0,477385.0,3.14,,,,12.2,,,,,True
cases,2014,year,GL,canton,all,agegroup_food,all,all,1.0,39794.0,2.51,,,,0.8,,,,,True
cases,2014,year,GR,canton,all,agegroup_food,all,all,4.0,195886.0,2.04,,,,3.3,,,,,True
cases,2014,year,JU,canton,all,agegroup_food,all,all,1.0,72410.0,1.38,,,,0.8,,,,,True
cases,2014,year,LU,canton,all,agegroup_food,all,all,4.0,394604.0,1.01,,,,3.3,,,,,True
cases,2014,year,NE,canton,all,agegroup_food,all,all,6.0,177327.0,3.38,,,,4.9,,,,,True
cases,2014,year,NW,canton,all,agegroup_food,all,all,1.0,42080.0,2.38,,,,0.8,,,,,True
cases,2014,year,OW,canton,all,agegroup_food,all,all,2.0,36834.0,5.43,,,,1.6,,,,,True
cases,2014,year,SG,canton,all,agegroup_food,all,all,4.0,495824.0,0.81,,,,3.3,,,,,True
cases,2014,year,SH,canton,all,agegroup_food,all,all,1.0,79417.0,1.26,,,,0.8,,,,,True
cases,2014,year,SO,canton,all,agegroup_food,all,all,1.0,263719.0,0.38,,,,0.8,,,,,True
cases,2014,year,SZ,canton,all,agegroup_food,all,all,3.0,152759.0,1.96,,,,2.4,,,,,True
cases,2014,year,TG,canton,all,agegroup_food,all,all,4.0,263733.0,1.52,,,,3.3,,,,,True
cases,2014,year,TI,canton,all,agegroup_food,all,all,6.0,350363.0,1.71,,,,4.9,,,,,True
cases,2014,year,UR,canton,all,agegroup_food,all,all,1.0,36008.0,2.78,,,,0.8,,,,,True
cases,2014,year,VD,canton,all,agegroup_food,all,all,5.0,761446.0,0.66,,,,4.1,,,,,True
cases,2014,year,VS,canton,all,agegroup_food,all,all,2.0,331763.0,0.6,,,,1.6,,,,,True
cases,2014,year,ZG,canton,all,agegroup_food,all,all,2.0,120089.0,1.67,,,,1.6,,,,,True
cases,2014,year,ZH,canton,all,agegroup_food,all,all,31.0,1446354.0,2.14,,,,25.2,,,,,True
cases,2015,year,AG,canton,all,agegroup_food,all,all,19.0,653541.0,2.91,,13.3,,6.3,,,,,True
cases,2015,year,AI,canton,all,agegroup_food,all,all,0.0,15973.0,0.0,,0.0,,0.0,,,,,True
cases,2015,year,AR,canton,all,agegroup_food,all,all,0.0,54530.0,0.0,,0.0,,0.0,,,,,True
cases,2015,year,BE,canton,all,agegroup_food,all,all,53.0,1017183.0,5.21,,25.7,,17.5,,,,,True
cases,2015,year,BL,canton,all,agegroup_food,all,all,9.0,283157.0,3.18,,5.0,,3.0,,,,,True
