valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,type,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases_10y_cumsum,2022,year,CHFL,CHFL,all,agegroup_food,female,all,3600.0,,,,,,55.8,,,,,True
cases_10y_cumsum,2022,year,CHFL,CHFL,all,agegroup_food,male,all,2843.0,,,,,,44.1,,,,,True
cases_10y_cumsum,2022,year,CHFL,CHFL,all,agegroup_food,unknown,all,3.0,,,,,,0.0,,,,,True
cases_10y_cumsum,2023,year,CHFL,CHFL,all,agegroup_food,female,all,4228.0,,,,,,55.6,,,,,True
cases_10y_cumsum,2023,year,CHFL,CHFL,all,agegroup_food,male,all,3369.0,,,,,,44.3,,,,,True
cases_10y_cumsum,2023,year,CHFL,CHFL,all,agegroup_food,unknown,all,5.0,,,,,,0.1,,,,,True
cases_10y_cumsum,2024,year,CHFL,CHFL,all,agegroup_food,female,all,4931.0,,,,,,55.6,,,,,True
cases_10y_cumsum,2024,year,CHFL,CHFL,all,agegroup_food,male,all,3928.0,,,,,,44.3,,,,,True
cases_10y_cumsum,2024,year,CHFL,CHFL,all,agegroup_food,unknown,all,10.0,,,,,,0.1,,,,,True
cases_10y_cumsum,2025,year,CHFL,CHFL,all,agegroup_food,female,all,5569.0,,,,,,55.7,,,,,True
cases_10y_cumsum,2025,year,CHFL,CHFL,all,agegroup_food,male,all,4427.0,,,,,,44.2,,,,,True
cases_10y_cumsum,2025,year,CHFL,CHFL,all,agegroup_food,unknown,all,11.0,,,,,,0.1,,,,,True
