valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,type,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2013,year,CHFL,CHFL,all,agegroup_food,all,hus,11.0,8176573.0,0.13,,,,13.3,,,,,True
cases,2013,year,CHFL,CHFL,all,agegroup_food,all,non-hus,72.0,8176573.0,0.88,,,,86.7,,,,,True
cases,2014,year,CHFL,CHFL,all,agegroup_food,all,hus,11.0,8274608.0,0.13,,,,8.8,,,,,True
cases,2014,year,CHFL,CHFL,all,agegroup_food,all,non-hus,114.0,8274608.0,1.38,,,,91.2,,,,,True
cases,2015,year,CHFL,CHFL,all,agegroup_food,all,hus,14.0,8362816.0,0.17,,12.0,,4.5,,,,,True
cases,2015,year,CHFL,CHFL,all,agegroup_food,all,non-hus,294.0,8362816.0,3.52,,160.0,,95.5,,,,,True
cases,2016,year,CHFL,CHFL,all,agegroup_food,all,hus,16.0,8457360.0,0.19,,13.7,,3.1,,,,,True
cases,2016,year,CHFL,CHFL,all,agegroup_food,all,non-hus,494.0,8457360.0,5.84,,300.7,,96.9,,,,,True
cases,2017,year,CHFL,CHFL,all,agegroup_food,all,hus,19.0,8522244.0,0.22,,16.3,,2.6,,,,,True
cases,2017,year,CHFL,CHFL,all,agegroup_food,all,non-hus,702.0,8522244.0,8.24,,496.7,,97.4,,,,,True
cases,2018,year,CHFL,CHFL,all,agegroup_food,all,hus,23.0,8582905.0,0.27,,19.3,,2.6,,,,,True
cases,2018,year,CHFL,CHFL,all,agegroup_food,all,non-hus,855.0,8582905.0,9.96,,683.7,,97.4,,,,,True
cases,2019,year,CHFL,CHFL,all,agegroup_food,all,hus,20.0,8644780.0,0.23,,20.7,,2.1,,,,,True
cases,2019,year,CHFL,CHFL,all,agegroup_food,all,non-hus,950.0,8644780.0,10.99,,835.7,,97.9,,,,,True
cases,2020,year,CHFL,CHFL,all,agegroup_food,all,hus,18.0,8709355.0,0.21,,20.3,,2.6,,,,,True
cases,2020,year,CHFL,CHFL,all,agegroup_food,all,non-hus,681.0,8709355.0,7.82,,828.7,,97.4,,,,,True
cases,2021,year,CHFL,CHFL,all,agegroup_food,all,hus,29.0,8778099.0,0.33,,22.3,,3.1,,,,,True
cases,2021,year,CHFL,CHFL,all,agegroup_food,all,non-hus,918.0,8778099.0,10.46,,849.7,,96.9,,,,,True
cases,2022,year,CHFL,CHFL,all,agegroup_food,all,hus,24.0,8855062.0,0.27,,23.7,,2.0,,,,,True
cases,2022,year,CHFL,CHFL,all,agegroup_food,all,non-hus,1181.0,8855062.0,13.34,,926.7,,98.0,,,,,True
cases,2023,year,CHFL,CHFL,all,agegroup_food,all,hus,22.0,9002273.0,0.24,,25.0,,1.8,,,,,True
cases,2023,year,CHFL,CHFL,all,agegroup_food,all,non-hus,1217.0,9002273.0,13.52,,1105.3,,98.2,,,,,True
cases,2024,year,CHFL,CHFL,all,agegroup_food,all,hus,24.0,9091915.0,0.26,,23.3,,1.7,,,,,True
cases,2024,year,CHFL,CHFL,all,agegroup_food,all,non-hus,1368.0,9091915.0,15.05,,1255.3,,98.3,,,,,True
cases,2025,year,CHFL,CHFL,all,agegroup_food,all,hus,23.0,9091915.0,0.25,,23.0,,1.6,,,,,True
cases,2025,year,CHFL,CHFL,all,agegroup_food,all,non-hus,1423.0,9091915.0,15.65,,1336.0,,98.4,,,,,True
