valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,type,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2013,year,AG,canton,all,agegroup_food,all,all,86.0,636362.0,13.51,,,,6.8,,,,,True
cases,2013,year,AI,canton,all,agegroup_food,all,all,0.0,15778.0,0.0,,,,0.0,,,,,True
cases,2013,year,AR,canton,all,agegroup_food,all,all,11.0,53691.0,20.49,,,,0.9,,,,,True
cases,2013,year,BE,canton,all,agegroup_food,all,all,141.0,1001281.0,14.08,,,,11.1,,,,,True
cases,2013,year,BL,canton,all,agegroup_food,all,all,47.0,278656.0,16.87,,,,3.7,,,,,True
cases,2013,year,BS,canton,all,agegroup_food,all,all,44.0,189335.0,23.24,,,,3.5,,,,,True
cases,2013,year,CH,country,all,agegroup_food,all,all,1267.0,8139631.0,15.57,,,,99.7,,,,,True
cases,2013,year,CHFL,CHFL,all,agegroup_food,all,all,1271.0,8176573.0,15.54,,,,100.0,,,,,True
cases,2013,year,FL,country,all,agegroup_food,all,all,4.0,36942.0,10.83,,,,0.3,,,,,True
cases,2013,year,FR,canton,all,agegroup_food,all,all,37.0,297622.0,12.43,,,,2.9,,,,,True
cases,2013,year,GE,canton,all,agegroup_food,all,all,81.0,469433.0,17.25,,,,6.4,,,,,True
cases,2013,year,GL,canton,all,agegroup_food,all,all,11.0,39593.0,27.78,,,,0.9,,,,,True
cases,2013,year,GR,canton,all,agegroup_food,all,all,34.0,194959.0,17.44,,,,2.7,,,,,True
cases,2013,year,JU,canton,all,agegroup_food,all,all,18.0,71738.0,25.09,,,,1.4,,,,,True
cases,2013,year,LU,canton,all,agegroup_food,all,all,69.0,390349.0,17.68,,,,5.4,,,,,True
cases,2013,year,NE,canton,all,agegroup_food,all,all,25.0,176402.0,14.17,,,,2.0,,,,,True
cases,2013,year,NW,canton,all,agegroup_food,all,all,2.0,41888.0,4.77,,,,0.2,,,,,True
cases,2013,year,OW,canton,all,agegroup_food,all,all,6.0,36507.0,16.44,,,,0.5,,,,,True
cases,2013,year,SG,canton,all,agegroup_food,all,all,85.0,491699.0,17.29,,,,6.7,,,,,True
cases,2013,year,SH,canton,all,agegroup_food,all,all,12.0,78783.0,15.23,,,,0.9,,,,,True
cases,2013,year,SO,canton,all,agegroup_food,all,all,45.0,261437.0,17.21,,,,3.6,,,,,True
cases,2013,year,SZ,canton,all,agegroup_food,all,all,17.0,151396.0,11.23,,,,1.3,,,,,True
cases,2013,year,TG,canton,all,agegroup_food,all,all,39.0,260278.0,14.98,,,,3.1,,,,,True
cases,2013,year,TI,canton,all,agegroup_food,all,all,62.0,346539.0,17.89,,,,4.9,,,,,True
cases,2013,year,UR,canton,all,agegroup_food,all,all,4.0,35865.0,11.15,,,,0.3,,,,,True
cases,2013,year,VD,canton,all,agegroup_food,all,all,105.0,749373.0,14.01,,,,8.3,,,,,True
