valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2013-M01,month,CHFL,CHFL,all,agegroup_food,all,15.0,8176573.0,0.18,15.0,,,,,,,,True
cases,2013-M02,month,CHFL,CHFL,all,agegroup_food,all,11.0,8176573.0,0.13,26.0,,,,,,,,True
cases,2013-M03,month,CHFL,CHFL,all,agegroup_food,all,13.0,8176573.0,0.16,39.0,,,,,,,,True
cases,2013-M04,month,CHFL,CHFL,all,agegroup_food,all,12.0,8176573.0,0.15,51.0,,stagnant,,,,,,True
cases,2013-M05,month,CHFL,CHFL,all,agegroup_food,all,4.0,8176573.0,0.05,55.0,,stagnant,,,,,,True
cases,2013-M06,month,CHFL,CHFL,all,agegroup_food,all,6.0,8176573.0,0.07,61.0,,falling,,,,,,True
cases,2013-M07,month,CHFL,CHFL,all,agegroup_food,all,13.0,8176573.0,0.16,74.0,,stagnant,,,,,,True
cases,2013-M08,month,CHFL,CHFL,all,agegroup_food,all,23.0,8176573.0,0.28,97.0,,rising,,,,,,True
cases,2013-M09,month,CHFL,CHFL,all,agegroup_food,all,14.0,8176573.0,0.17,111.0,,rising,,,,,,True
cases,2013-M10,month,CHFL,CHFL,all,agegroup_food,all,6.0,8176573.0,0.07,117.0,,stagnant,,,,,,True
cases,2013-M11,month,CHFL,CHFL,all,agegroup_food,all,17.0,8176573.0,0.21,134.0,,stagnant,,,,,,True
cases,2013-M12,month,CHFL,CHFL,all,agegroup_food,all,13.0,8176573.0,0.16,147.0,,stagnant,,,,,,True
cases,2014-M01,month,CHFL,CHFL,all,agegroup_food,all,15.0,8274608.0,0.18,15.0,,stagnant,,,,,,True
cases,2014-M02,month,CHFL,CHFL,all,agegroup_food,all,11.0,8274608.0,0.13,26.0,,stagnant,,,,,,True
cases,2014-M03,month,CHFL,CHFL,all,agegroup_food,all,4.0,8274608.0,0.05,30.0,,falling,,,,,,True
cases,2014-M04,month,CHFL,CHFL,all,agegroup_food,all,11.0,8274608.0,0.13,41.0,,stagnant,,,,,,True
cases,2014-M05,month,CHFL,CHFL,all,agegroup_food,all,7.0,8274608.0,0.08,48.0,,stagnant,,,,,,True
cases,2014-M06,month,CHFL,CHFL,all,agegroup_food,all,13.0,8274608.0,0.16,61.0,,stagnant,,,,,,True
cases,2014-M07,month,CHFL,CHFL,all,agegroup_food,all,12.0,8274608.0,0.15,73.0,,stagnant,,,,,,True
cases,2014-M08,month,CHFL,CHFL,all,agegroup_food,all,13.0,8274608.0,0.16,86.0,,stagnant,,,,,,True
